author_steamid,reviews
76561198446120011,they touched me and i didnt like it
76561198986715920,A little bit out of style for my taste.
76561198119477695,My only review ever. The motion sickness I get from standing is INSANE like the only point in my life where I considered DRAMAMINE.
76561197976438903,"The Server browser is horrible. Not able to filter at all as well as no text chat to relax if you have people to play with its great, otherwise hard pass."
76561199539839702,"In my opinion, this game is bad in VR."
76561199451014693,good and fun game
76561198114131258,"good game, but better with friends"
76561199051892590,"This game is very fun with friends, its much scarier alone. Great to see the improvements in the last couple years, and more improvements to come. Very well spent $20."
76561198319231873,Its fun....
76561199207122374,yes
